location_id,split
accra_01,train
addis_01,train
auckland_01,train
bangalore_01,test
beijing_01,test
berlin_01,train
bogota_01,train
brisbane_01,train
buenos_01,train
cairo_01,train
capetown_01,train
chicago_01,train
delhi_01,test
dubai_01,train
hongkong_01,test
houston_01,train
istanbul_01,train
jakarta_01,test
johannesburg_01,train
kolkata_01,test
la_01,train
lagos_01,train
lima_01,train
london_01,train
madrid_01,train
manila_01,test
melbourne_01,train
mexico_01,train
miami_01,train
moscow_01,train
mumbai_01,test
nairobi_01,train
nyc_01,train
paris_01,train
perth_01,train
rio_01,train
riyadh_01,train
rome_01,train
santiago_01,train
sao_01,train
seattle_01,train
seoul_01,test
shanghai_01,test
singapore_01,test
stp_01,train
sydney_01,train
tehran_01,train
tokyo_01,test
toronto_01,train
vancouver_01,train
