location_id,split
accra_01,train
addis_01,train
auckland_01,train
bangalore_01,train
beijing_01,train
berlin_01,test
bogota_01,train
brisbane_01,train
buenos_01,train
cairo_01,train
capetown_01,train
chicago_01,train
delhi_01,train
dubai_01,train
hongkong_01,train
houston_01,train
istanbul_01,test
jakarta_01,train
johannesburg_01,train
kolkata_01,train
la_01,train
lagos_01,train
lima_01,train
london_01,test
madrid_01,test
manila_01,train
melbourne_01,train
mexico_01,train
miami_01,train
moscow_01,test
mumbai_01,train
nairobi_01,train
nyc_01,train
paris_01,test
perth_01,train
rio_01,train
riyadh_01,train
rome_01,test
santiago_01,train
sao_01,train
seattle_01,train
seoul_01,train
shanghai_01,train
singapore_01,train
stp_01,test
sydney_01,train
tehran_01,test
tokyo_01,train
toronto_01,train
vancouver_01,train
