location_id,split
accra_01,train
addis_01,train
auckland_01,test
bangalore_01,train
beijing_01,train
berlin_01,train
bogota_01,train
brisbane_01,test
buenos_01,train
cairo_01,train
capetown_01,train
chicago_01,train
delhi_01,train
dubai_01,train
hongkong_01,train
houston_01,train
istanbul_01,train
jakarta_01,train
johannesburg_01,train
kolkata_01,train
la_01,train
lagos_01,train
lima_01,train
london_01,train
madrid_01,train
manila_01,train
melbourne_01,test
mexico_01,train
miami_01,train
moscow_01,train
mumbai_01,train
nairobi_01,train
nyc_01,train
paris_01,train
perth_01,test
rio_01,train
riyadh_01,train
rome_01,train
santiago_01,train
sao_01,train
seattle_01,train
seoul_01,train
shanghai_01,train
singapore_01,train
stp_01,train
sydney_01,test
tehran_01,train
tokyo_01,train
toronto_01,train
vancouver_01,train
