sample_id,location_id,patch_id,ndvi_2019,ndvi_2021,ndvi_2023,d01,d12,d02,label,path,split
0,accra_01,0,0.7291098833084106,0.5930162668228149,0.6816153526306152,-0.1360936164855957,0.0885990858078002,-0.0474945306777954,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000000.npz,test
1,accra_01,1,0.6881622076034546,0.597093403339386,0.3207527697086334,-0.0910688042640686,-0.2763406336307525,-0.3674094378948211,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000001.npz,test
2,accra_01,2,0.6596329212188721,0.5744714140892029,0.6371511220932007,-0.0851615071296691,0.0626797080039978,-0.0224817991256713,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000002.npz,test
3,accra_01,3,0.6953187584877014,0.6383805871009827,0.6989026069641113,-0.0569381713867187,0.0605220198631286,0.0035838484764099,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000003.npz,test
4,accra_01,4,0.7486468553543091,0.5961818695068359,0.6786271333694458,-0.1524649858474731,0.0824452638626098,-0.0700197219848632,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000004.npz,test
5,accra_01,5,0.6430462598800659,0.5046219825744629,0.4809729158878326,-0.138424277305603,-0.0236490666866302,-0.1620733439922332,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000005.npz,test
6,accra_01,6,0.7191177010536194,0.6138437986373901,0.6428806781768799,-0.1052739024162292,0.0290368795394897,-0.0762370228767395,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000006.npz,test
7,accra_01,7,0.7128887176513672,0.6333639621734619,0.595162034034729,-0.0795247554779052,-0.0382019281387329,-0.1177266836166381,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000007.npz,test
8,accra_01,8,0.6516973376274109,0.5612687468528748,0.6979749798774719,-0.0904285907745361,0.1367062330245971,0.046277642250061,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000008.npz,test
9,accra_01,9,0.7169981002807617,0.6181668639183044,0.5352301597595215,-0.0988312363624572,-0.0829367041587829,-0.1817679405212402,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000009.npz,test
10,accra_01,10,0.645952582359314,0.6006194353103638,0.5923128128051758,-0.0453331470489501,-0.0083066225051879,-0.0536397695541381,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000010.npz,test
11,accra_01,11,0.6639999151229858,0.6224124431610107,0.4144623279571533,-0.0415874719619751,-0.2079501152038574,-0.2495375871658325,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000011.npz,test
12,accra_01,12,0.7402306795120239,0.6270890235900879,0.4700207114219665,-0.113141655921936,-0.1570683121681213,-0.2702099680900574,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000012.npz,test
13,accra_01,13,0.6657983660697937,0.623931348323822,0.5925198197364807,-0.0418670177459716,-0.0314115285873413,-0.0732785463333129,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000013.npz,test
14,accra_01,14,0.6570025682449341,0.5894657373428345,0.5880613327026367,-0.0675368309020996,-0.0014044046401977,-0.0689412355422973,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000014.npz,test
15,accra_01,15,0.6535782217979431,0.58856201171875,0.477120965719223,-0.0650162100791931,-0.1114410459995269,-0.1764572560787201,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000015.npz,test
16,addis_01,0,0.5427135229110718,0.3499667942523956,0.3635141253471374,-0.1927467286586761,0.0135473310947418,-0.1791993975639343,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000016.npz,test
17,addis_01,1,0.6129224896430969,0.316403865814209,0.6692724823951721,-0.2965186238288879,0.3528686165809631,0.0563499927520751,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000017.npz,test
18,addis_01,2,0.4416293203830719,0.3102221190929413,0.6381740570068359,-0.1314072012901306,0.3279519379138946,0.196544736623764,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000018.npz,test
19,addis_01,3,0.5903687477111816,0.3296858966350555,0.5959112644195557,-0.2606828510761261,0.2662253677845001,0.005542516708374,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000019.npz,test
20,addis_01,4,0.5551377534866333,0.3325415849685669,0.690605878829956,-0.2225961685180664,0.3580642938613891,0.1354681253433227,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000020.npz,test
21,addis_01,5,0.6115256547927856,0.2976254820823669,0.6537311673164368,-0.3139001727104187,0.3561056852340698,0.0422055125236511,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000021.npz,test
22,addis_01,6,0.6055469512939453,0.2797722816467285,0.6245173215866089,-0.3257746696472168,0.3447450399398803,0.0189703702926635,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000022.npz,test
23,addis_01,7,0.6644906997680664,0.3092466592788696,0.6687846779823303,-0.3552440404891968,0.3595380187034607,0.0042939782142639,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000023.npz,test
24,addis_01,8,0.6781400442123413,0.3723770976066589,0.6339366436004639,-0.3057629466056824,0.2615595459938049,-0.0442034006118774,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000024.npz,test
25,addis_01,9,0.6509599089622498,0.3037582635879516,0.6229321956634521,-0.3472016453742981,0.3191739320755005,-0.0280277132987976,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000025.npz,test
26,addis_01,10,0.6717174649238586,0.3008425533771515,0.5870587229728699,-0.3708749115467071,0.2862161695957184,-0.0846587419509887,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000026.npz,test
