sample_id,location_id,patch_id,year_0,year_1,year_2,cloud_0,cloud_1,cloud_2,valid_0,valid_1,valid_2,grid_ph,grid_pw,patch,path
0,accra_01,0,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000000.npz
1,accra_01,1,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000001.npz
2,accra_01,2,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000002.npz
3,accra_01,3,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000003.npz
4,accra_01,4,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000004.npz
5,accra_01,5,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000005.npz
6,accra_01,6,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000006.npz
7,accra_01,7,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000007.npz
8,accra_01,8,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000008.npz
9,accra_01,9,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000009.npz
10,accra_01,10,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000010.npz
11,accra_01,11,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000011.npz
12,accra_01,12,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000012.npz
13,accra_01,13,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000013.npz
14,accra_01,14,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000014.npz
15,accra_01,15,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000015.npz
16,addis_01,0,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000016.npz
17,addis_01,1,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000017.npz
18,addis_01,2,2019,2021,2023,0.0,0.0,0.0,0.9892578125,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000018.npz
19,addis_01,3,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000019.npz
20,addis_01,4,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000020.npz
21,addis_01,5,2019,2021,2023,0.0,0.0,0.0,1.0,1.0,1.0,4,4,64,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000021.npz
